SKU,ONYX BLACK,WHITE SHAKER,ESPRESSO SHAKER,SIGNATURE BLUE,Grey Shaker,Uptown White,Modern Slate,Dark Green Slim Shaker,Gray Shaker
W4236,818.0,744.0,818.0,818.0,744.0,818.0,818.0,818.0,
W0942,465.0,423.0,465.0,465.0,423.0,465.0,465.0,465.0,
W1242,459.0,417.0,459.0,459.0,417.0,459.0,459.0,459.0,
W1542,518.0,471.0,518.0,518.0,471.0,518.0,518.0,518.0,
W1542GD,554.0,504.0,554.0,554.0,504.0,554.0,554.0,554.0,
W1515,396.0,360.0,396.0,396.0,360.0,396.0,396.0,396.0,
W1515GD,484.0,440.0,484.0,484.0,440.0,484.0,484.0,484.0,
W1815,396.0,360.0,396.0,396.0,360.0,396.0,396.0,396.0,
W1815GD,484.0,440.0,484.0,484.0,440.0,484.0,484.0,484.0,
W1842,565.0,514.0,565.0,565.0,514.0,565.0,565.0,565.0,
W1842GD,605.0,550.0,605.0,605.0,550.0,605.0,605.0,605.0,
W2115,449.0,408.0,449.0,449.0,408.0,449.0,449.0,449.0,
W2115GD,537.0,488.0,537.0,537.0,488.0,537.0,537.0,537.0,
W2142,641.0,583.0,641.0,641.0,583.0,641.0,641.0,641.0,
W2415,479.0,435.0,479.0,479.0,435.0,479.0,479.0,479.0,
W2415GD,567.0,515.0,567.0,567.0,515.0,567.0,567.0,567.0,
W2442,683.0,621.0,683.0,683.0,621.0,683.0,683.0,683.0,
W2715,567.0,515.0,567.0,567.0,515.0,567.0,567.0,567.0,
W2715GD,677.0,615.0,677.0,677.0,615.0,677.0,677.0,677.0,
W2742,741.0,674.0,741.0,741.0,674.0,741.0,741.0,741.0,
W3042,783.0,712.0,783.0,783.0,712.0,783.0,783.0,783.0,
W3042GD,837.0,761.0,837.0,837.0,761.0,837.0,837.0,837.0,
W3342,847.0,770.0,847.0,847.0,770.0,847.0,847.0,847.0,
W3642,889.0,808.0,889.0,889.0,808.0,889.0,889.0,889.0,
W3642GD,950.0,864.0,950.0,950.0,864.0,950.0,950.0,950.0,
W4242,994.0,904.0,994.0,994.0,904.0,994.0,994.0,994.0,
W3012,383.0,348.0,383.0,383.0,348.0,383.0,383.0,383.0,
W3015,413.0,375.0,413.0,413.0,375.0,413.0,413.0,413.0,
W3015GD,523.0,475.0,523.0,523.0,475.0,523.0,523.0,523.0,
W3018,453.0,412.0,453.0,453.0,412.0,453.0,453.0,453.0,
W3021,488.0,444.0,488.0,488.0,444.0,488.0,488.0,488.0,
W3024,536.0,487.0,536.0,536.0,487.0,536.0,536.0,536.0,
W3312,397.0,361.0,397.0,397.0,361.0,397.0,397.0,397.0,
W3315,427.0,388.0,427.0,427.0,388.0,427.0,427.0,427.0,
W3315GD,537.0,488.0,537.0,537.0,488.0,537.0,537.0,537.0,
W3318,501.0,455.0,501.0,501.0,455.0,501.0,501.0,501.0,
W3321,559.0,508.0,559.0,559.0,508.0,559.0,559.0,559.0,
W3324,627.0,570.0,627.0,627.0,570.0,627.0,627.0,627.0,
W3612,413.0,375.0,413.0,413.0,375.0,413.0,413.0,413.0,
W3615,441.0,401.0,441.0,441.0,401.0,441.0,441.0,441.0,
W3615GD,551.0,501.0,551.0,551.0,501.0,551.0,551.0,551.0,
W3618,548.0,498.0,548.0,548.0,498.0,548.0,548.0,548.0,
W3621,629.0,572.0,629.0,629.0,572.0,629.0,629.0,629.0,
W3624,718.0,653.0,718.0,718.0,653.0,718.0,718.0,718.0,
W361224,559.0,508.0,559.0,559.0,508.0,559.0,559.0,559.0,
W361524,620.0,564.0,620.0,620.0,564.0,620.0,620.0,620.0,
W361824,683.0,621.0,683.0,683.0,621.0,683.0,683.0,683.0,
W362124,718.0,653.0,718.0,718.0,653.0,718.0,718.0,718.0,
W362424,754.0,685.0,754.0,754.0,685.0,754.0,754.0,754.0,
WBC3030,671.0,610.0,671.0,671.0,610.0,671.0,671.0,671.0,
