SKU,GLOSSY WHITE,SLICED OAK SHAKER,BLACK WALNUT,WEATHERED OAK SHAKER,GLOSSY GREY,NATURAL OAK,WHITE OAK,MATTE WHITE,MATTE GREY,MATTE BLUE,GLOSSY BLACK,SLICED OAK,WEATHERED OAK
VDK30,516.0,507.0,497.0,507.0,516.0,487.0,487.0,516.0,516.0,516.0,516.0,,
PC1584,1608.39,1547.79,1483.16,1547.79,1608.39,1410.48,1410.48,1608.39,1608.39,1608.39,1608.39,,
PC1590,1694.53,1629.32,1559.75,1629.32,1694.53,1481.55,1481.55,1694.53,1694.53,1694.53,1694.53,,
PC1596,1780.66,1710.97,1636.45,1710.97,1780.66,1552.73,1552.73,1780.66,1780.66,1780.66,1780.66,,
PC1884,1781.24,1708.33,1630.7,1708.33,1781.24,1543.3,1543.3,1781.24,1781.24,1781.24,1781.24,,
PC1890,1874.27,1795.96,1712.35,1795.96,1874.27,1618.4,1618.4,1874.27,1874.27,1874.27,1874.27,,
PC1896,1967.19,1883.36,1793.89,1883.36,1967.19,1693.26,1693.26,1967.19,1967.19,1967.19,1967.19,,
PC2484,2169.48,2072.65,1969.49,2072.65,2169.48,1853.34,1853.34,2169.48,2169.48,2169.48,2169.48,,
PC2490,2275.51,2171.43,2060.46,2171.43,2275.51,1935.57,1935.57,2275.51,2275.51,2275.51,2275.51,,
PC2496,2381.54,2270.1,2151.31,2270.1,2381.54,2017.56,2017.56,2381.54,2381.54,2381.54,2381.54,,
PC3084,2515.4,2394.19,2264.93,2394.19,2515.4,2119.45,2119.45,2515.4,2515.4,2515.4,2515.4,,
PC3090,2634.88,2504.59,2365.44,2504.59,2634.88,2209.04,2209.04,2634.88,2634.88,2634.88,2634.88,,
PC3096,2754.48,2614.87,2466.06,2614.87,2754.48,2298.62,2298.62,2754.48,2754.48,2754.48,2754.48,,
MOC3084,2547.83,2470.55,2388.21,2470.55,2547.83,2295.4,2295.4,2547.83,2547.83,2547.83,2547.83,,
MOC3090,2637.41,2555.53,2468.25,2555.53,2637.41,2370.04,2370.04,2637.41,2637.41,2637.41,2637.41,,
MOC3096,2726.88,2640.52,2548.29,2640.52,2726.88,2444.67,2444.67,2726.88,2726.88,2726.88,2726.88,,
W0930,337.07,323.38,308.89,323.38,337.07,292.56,292.56,337.07,337.07,337.07,337.07,,
W0936,389.62,373.18,355.81,373.18,389.62,336.15,336.15,389.62,389.62,389.62,389.62,,
W0942,463.34,444.25,423.78,444.25,463.34,400.89,400.89,463.34,463.34,463.34,463.34,,
W1230,401.01,382.72,363.29,382.72,401.01,341.44,341.44,401.01,401.01,401.01,401.01,,
W1236,461.96,439.99,416.65,439.99,461.96,390.43,390.43,461.96,461.96,461.96,461.96,,
W1242,548.9,523.37,496.11,523.37,548.9,465.41,465.41,548.9,548.9,548.9,548.9,,
W1530,464.83,442.06,417.68,442.06,464.83,390.2,390.2,464.83,464.83,464.83,464.83,,
W1536,534.29,506.81,477.6,506.81,534.29,444.71,444.71,534.29,534.29,534.29,534.29,,
W1542,634.46,602.37,568.22,602.37,634.46,529.81,529.81,634.46,634.46,634.46,634.46,,
W1830,528.89,501.4,472.19,501.4,528.89,439.19,439.19,528.89,528.89,528.89,528.89,,
W1836,606.51,573.51,538.43,573.51,606.51,498.87,498.87,606.51,606.51,606.51,606.51,,
W1842,719.79,681.38,640.32,681.38,719.79,594.09,594.09,719.79,719.79,719.79,719.79,,
W2130,592.83,560.74,526.59,560.74,592.83,488.06,488.06,592.83,592.83,592.83,592.83,,
W2136,678.96,640.44,599.38,640.44,678.96,553.27,553.27,678.96,678.96,678.96,678.96,,
