SKU,GLOSSY WHITE,SLICED OAK SHAKER,BLACK WALNUT,WEATHERED OAK SHAKER,GLOSSY GREY,NATURAL OAK,WHITE OAK,MATTE WHITE,MATTE GREY,MATTE BLUE,GLOSSY BLACK,SLICED OAK,WEATHERED OAK
OCM8,57.62,,57.614999999999995,,57.62,57.614999999999995,57.614999999999995,57.62,57.62,57.62,57.62,57.614999999999995,57.614999999999995
SM8,44.85,,44.85,,44.85,44.85,44.85,44.85,44.85,44.85,44.85,44.85,44.85
WF330,39.1,,29.555,,39.1,24.034999999999997,24.034999999999997,39.1,39.1,39.1,39.1,24.034999999999997,24.034999999999997
WF336,46.92,,35.535,,46.92,28.865,28.865,46.92,46.92,46.92,46.92,28.865,28.865
WF342,54.74,,41.4,,54.74,33.58,33.58,54.74,54.74,54.74,54.74,33.58,33.58
WF630,78.2,,59.11,,78.2,48.06999999999999,48.06999999999999,78.2,78.2,78.2,78.2,48.06999999999999,48.06999999999999
WF636,93.96,,70.955,,93.96,57.614999999999995,57.614999999999995,93.96,93.96,93.96,93.96,57.614999999999995,57.614999999999995
WF642,109.6,,82.8,,109.6,67.27499999999999,67.27499999999999,109.6,109.6,109.6,109.6,67.27499999999999,67.27499999999999
TF396,125.24,,94.64500000000001,,125.24,76.935,76.935,125.24,125.24,125.24,125.24,76.935,76.935
TF696,250.47,,189.29000000000002,,250.47,153.755,153.755,250.47,250.47,250.47,250.47,153.755,153.755
Sample Door,48.0,,35.0,,48.0,32.0,32.0,48.0,48.0,48.0,48.0,42.0,42.0
Edgebanding,4.6,,2.0,,4.6,2.0,2.0,4.6,4.6,4.6,4.6,2.0,2.0
HG-N,14.0,,14.0,,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
HG-N Blum,26.0,,26.0,,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0
HG-DC,24.0,,24.0,,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
HG-D2D,28.0,,28.0,,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0
HG-D2F,28.0,,28.0,,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0
USR18,100.0,,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
USR21,125.0,,125.0,,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0
L-N Drawer,188.0,,188.0,,188.0,188.0,188.0,188.0,188.0,188.0,188.0,188.0,188.0
L-H Drawer,250.0,,250.0,,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0
Custom Trim,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
*MWEP1233,207.23,,,,207.23,,,207.23,207.23,207.23,207.23,,
*MWEP1245,254.85,,,,254.85,,,254.85,254.85,254.85,254.85,,
*TEP8436,793.96,,,,793.96,,,793.96,793.96,793.96,793.96,,
*MWEP1230,158.01,,,,158.01,,,158.01,158.01,158.01,158.01,,
*MWEP1240,207.23,,,,207.23,,,207.23,207.23,207.23,207.23,,
*REF2484,598.35,,,,598.35,,,598.35,598.35,598.35,598.35,,
*REF2490,598.35,,,,598.35,,,598.35,598.35,598.35,598.35,,
*REF9634,770.5,,,,770.5,,,770.5,770.5,770.5,770.5,,
*OPEN SHELVES 123034,1144.29,,,,1144.29,,,1144.29,1144.29,1144.29,1144.29,,
*Shelf 361202,476.19,,,,476.19,,,476.19,476.19,476.19,476.19,,
*SINK FASCIA 33 * 5,207.23,,,,207.23,,,207.23,207.23,207.23,207.23,,
*SINK FASCIA 42 * 5,207.23,,,,207.23,,,207.23,207.23,207.23,207.23,,
*False Drawer Front 38 * 6,,,,,,67.28,67.28,,,,,,
*False Drawer Front 68 * 4,250.47,,,,250.47,153.76,153.76,250.47,250.47,250.47,250.47,,
*False Drawer Front 70 * 4,250.47,,,,250.47,153.76,153.76,250.47,250.47,250.47,250.47,,
*SHELVES 33 * 2,476.19,,,,476.19,476.19,476.19,476.19,476.19,476.19,476.19,,
*SHELVES 23 * 2,420.63,,,,420.63,396.83,396.83,420.63,420.63,420.63,420.63,,
